Participant,Start,End,Sentence
18.Orange.41,05:36.7,05:37.6,"""Yeah me neither"""
18.Blue.43,05:37.5,05:38.5,"""Mhm $"""
18.Orange.42,05:37.6,05:41.5,"""Oh this is this is when I started going like I dont know what any of this"""
18.Pink.72,05:37.8,05:39.4,"""$"""
18.Pink.73,05:41.5,05:44.4,"""No I dont know what that I was like okay"""
18.Blue.44,05:41.6,05:41.9,"""Yeah"""
18.Orange.43,05:43.1,05:45.4,"""Theyre scribbled all of them scribbled all over the place so"""
18.Pink.74,05:46.0,05:52.4,"""Um I think yeah the compress kit is definitely definitely something you can use"""
18.Pink.75,05:52.4,05:53.5,"""So we can put that as eight"""
18.Orange.44,05:54.2,05:56.7,"""I dont know why youll need a ball of steel wool"""
18.Orange.45,05:57.3,05:58.6,"""What are you going to do with a ball"""
18.Pink.76,06:00.3,06:04.4,"""Um I dont know"""
18.Pink.77,06:05.3,06:07.7,"""I put that as seven but"""
18.Orange.46,06:07.7,06:11.6,"""I put that as eight because I feel like wool warmth but"""
18.Blue.45,06:11.4,06:11.9,"""Mhm"""
18.Pink.78,06:11.8,06:12.7,"""I guess so"""
18.Orange.47,06:13.1,06:14.4,"""Why would that be on a plane"""
18.Pink.79,06:15.2,06:15.9,"""True"""
18.Pink.80,06:17.0,06:22.6,"""Um we can put that as nine I guess"""
18.Blue.46,06:22.9,06:23.6,"""Steel wool"""
18.Pink.81,06:23.8,06:24.4,"""Yeah"""
18.Orange.48,06:24.8,06:26.4,"""What is a sectional air map"""
18.Orange.49,06:26.4,06:28.3,"""What do you think it mean what"""
18.Pink.82,06:26.8,06:28.0,"""Yeah do you know what that is"""
18.Blue.47,06:28.7,06:30.6,"""$ I dont know"""
18.Pink.83,06:29.2,06:31.0,"""Oh oh"""
18.Pink.84,06:31.4,06:31.9,"""No"""
18.Blue.48,06:32.0,06:32.6,"""[unclear]"""
18.Blue.49,06:33.1,06:35.3,"""I dont know what a can of shortening is either"""
18.Orange.50,06:35.3,06:37.1,"""Do you think we will need plastic"""
18.Pink.85,06:35.5,06:36.7,"""I think thats um"""
18.Orange.51,06:37.2,06:38.9,"""Cause it says made of plastic"""
18.Pink.86,06:42.1,06:43.6,"""I dont know"""
18.Orange.52,06:43.0,06:44.6,"""Plastic is [unclear]"""
18.Pink.87,06:44.0,06:45.6,"""I guess Im assuming I dont know"""
18.Orange.53,06:45.5,06:47.2,"""How much plastic is it"""
18.Pink.88,06:48.1,06:49.1,"""I dont know so"""
18.Pink.89,06:51.6,06:52.7,"""Can we put that"""
18.Pink.90,06:52.7,06:54.1,"""Steel wool is nine"""
18.Pink.91,06:54.7,06:58.9,"""And then ten I just put the can of shortening"""
18.Pink.92,06:58.9,07:00.7,"""Cause I know isnt that like fat"""
18.Orange.54,07:01.4,07:03.1,"""Yeah I didnt know what that was actually"""
18.Blue.50,07:02.5,07:04.6,"""I dont think so yeah I didnt what that one was either"""
18.Pink.93,07:04.1,07:07.3,"""No I just think its I think its fat"""
18.Pink.94,07:07.3,07:09.1,"""Like a type of fat"""
18.Orange.55,07:09.2,07:22.1,"""What about ski poles cause what if like theres someone who knows how to ski really well and were like we need to get to that place where people are and so maybe like a few people or like just one person goes ahead and gets help"""
18.Orange.56,07:22.5,07:26.8,"""Cause like maybe babies cant move this fast or like moms maybe someones pregnant"""
18.Blue.51,07:26.8,07:31.9,"""I was thinking like for the ski poles like maybe for like hiking hi hiking terrain or something"""
18.Pink.95,07:28.5,07:28.9,"""Yeah"""
18.Orange.57,07:31.3,07:32.7,"""But theres only two of them"""
18.Blue.52,07:34.3,07:40.0,"""Well you could like one per person kinda like a hiking stick"""
18.Orange.58,07:40.0,07:40.6,"""Sure"""
18.Pink.96,07:40.5,07:41.4,"""Yeah"""
18.Orange.59,07:40.9,07:42.4,"""Yeah put that as ten"""
18.Pink.97,07:42.9,07:45.0,"""It was my last one $"""
18.Blue.53,07:43.3,07:44.4,"""yeah like [unclear]"""
18.Blue.54,07:44.4,07:47.9,"""Its not super important but like just to like hike around to terrain maybe"""
18.Pink.98,07:47.9,07:50.0,"""No yeah that makes sense yeah"""
18.Pink.99,07:50.1,07:53.2,"""Like if and plus if someone got injured or something like that"""
18.Blue.55,07:51.9,07:52.4,"""Yeah"""
18.Pink.100,07:54.3,07:57.7,"""Um well yeah were at ten"""
18.Pink.101,08:01.6,08:03.1,"""We could """
18.Pink.102,08:04.6,08:07.6,"""Yeah would you put that as ten then"""
18.Pink.103,08:07.6,08:10.0,"""The poles or what what did you have again"""
18.Orange.60,08:09.0,08:12.7,"""I dont think my reasoning is all that justified here"""
18.Pink.104,08:12.9,08:13.9,"""Which one was yours"""
18.Orange.61,08:13.9,08:16.4,"""I put the ski poles as ten"""
18.Pink.105,08:14.0,08:16.4,"""You put the you put the ski poles"""
18.Pink.106,08:16.4,08:17.4,"""And you put"""
18.Blue.56,08:17.6,08:18.4,"""For the ten"""
18.Pink.107,08:18.4,08:18.7,"""Yeah"""
18.Blue.57,08:18.7,08:21.5,"""I said the can of shortening but I kind of just randomly put that"""
18.Pink.108,08:21.5,08:22.9,"""Okay yeah thats my ten as well"""
18.Pink.109,08:23.5,08:25.6,"""But yeah I think the ski poles are """
18.Pink.110,08:26.6,08:27.7,"""I think thats a good idea"""
18.Blue.58,08:29.5,08:30.9,"""You can hike around"""
18.Pink.111,08:30.6,08:32.0,"""Yeah $"""
18.Pink.112,08:33.0,08:34.2,"""Okay eleven"""
18.Pink.113,08:37.7,08:39.9,"""Eleven was the pistol for me"""
18.Pink.114,08:39.9,08:41.0,"""[unclear]"""
18.Orange.62,08:40.3,08:44.4,"""I just put rope at eleven because I was just kind of what is all this"""
18.Pink.115,08:44.2,08:44.7,"""Yeah"""
18.Orange.63,08:44.4,08:46.7,"""Cause a few of the words confused me"""
18.Orange.64,08:46.7,08:48.1,"""So thats the only reason"""
18.Pink.116,08:46.8,08:47.4,"""Mhm"""
