Participant,Start,End,Sentence
4.Blue.54,03:07.5,03:10.3,"""And then twelve would be what food"""
4.Yellow.34,03:10.2,03:12.1,"""The chocolate bar probably"""
4.Blue.55,03:10.3,03:11.6,"""You think the chocolate bar"""
4.Orange.34,03:11.4,03:13.3,"""Yeah I think that probably would be """
4.Blue.56,03:12.0,03:12.6,"""Okay"""
4.Blue.57,03:13.4,03:14.8,"""And then"""
4.Yellow.35,03:15.5,03:18.3,"""Does steel wool what could that be used for"""
4.Blue.58,03:17.8,03:19.8,"""Yeah whats the steel wool"""
4.Orange.35,03:18.7,03:20.3,"""I put that as fifteen"""
4.Blue.59,03:20.3,03:21.6,"""I did it as fourteen"""
4.Blue.60,03:21.6,03:28.8,"""My fifteenth was two ski polls cause I already had the rope"""
4.Yellow.36,03:26.8,03:28.7,"""The rope"""
4.Blue.61,03:29.0,03:30.1,"""Kay so"""
4.Yellow.37,03:29.6,03:33.4,"""It just might help with like walking up like like hills and stuff"""
4.Blue.62,03:31.4,03:32.2,"""Twelve"""
4.Yellow.38,03:33.4,03:36.7,"""Like its hard to walk in snow"""
4.Blue.63,03:34.0,03:35.5,"""Yeah thats true"""
4.Blue.64,03:36.7,03:39.0,"""Okay so should we do ski polls next then"""
4.Orange.36,03:39.1,03:39.6,"""Sure"""
4.Blue.65,03:39.5,03:40.3,"""Yeah"""
4.Orange.37,03:39.9,03:41.4,"""Oh and twelve then"""
4.Blue.66,03:41.5,03:42.8,"""Th thirteen"""
4.Yellow.39,03:42.8,03:43.6,"""Thirteen"""
4.Orange.38,03:43.2,03:44.1,"""Oh okay"""
4.Blue.67,03:44.5,03:47.6,"""And then fourteen fifteen between the shortening and the wool"""
4.Yellow.40,03:44.7,03:45.2,"""Yeah"""
4.Yellow.41,03:47.3,03:48.1,"""Yeah"""
4.Orange.39,03:47.7,03:49.6,"""Id maybe do shortening for """
4.Blue.68,03:49.2,03:50.4,"""For food"""
4.Orange.40,03:50.1,03:51.0,"""Yeah"""
4.Blue.69,03:50.4,03:52.1,"""Thirteen fourteen"""
4.Yellow.42,03:50.5,03:51.3,"""Yeah"""
4.Blue.70,03:52.1,03:53.4,"""And then fifteen"""
4.Blue.71,03:54.4,03:54.9,"""Kay"""
4.Yellow.43,03:54.8,03:55.5,"""Mhm"""
